Topic,TopWords,Document_Count,Strength,Novelty_AvgYear,Heat_RecentRatio,Avg_Citations,HighCited_Count,Strength_Norm,Novelty_AvgYear_Norm,Heat_RecentRatio_Norm,Avg_Citations_Norm,HighCited_Count_Norm,Composite_Index,Frontier_Type
7,microbiota; gut; microbial; microbiome; gastric; diversity; composition; bacteria; the; abundance,731,0.026040182388144772,2019.5854993160056,0.32147742818057456,46.32694938440493,14,0.3428571428571429,0.8083669870235516,0.6308516311530524,0.2727407489844698,0.875,0.617776177955916,热点
58,cancer; mortality; incidence; trends; cardia; gastric; noncardia; gc; burden; risk,243,0.00865631233969792,2017.1810699588477,0.24691358024691357,77.4320987654321,15,0.09824561403508775,0.5917003369515391,0.47666875915463486,0.5057857281329186,0.9375,0.545746509995487,热点
0,therapy; eradication; mg; triple; quadruple; treatment; day; amoxicillin; rates; regimen,2042,0.07274152180108293,2016.5024485798237,0.21596474045053868,29.051420176297746,10,1.0,0.5305487708127116,0.41267285313501223,0.14330959613048516,0.625,0.5444463997125764,热点
46,gim; screening; surveillance; metaplasia; olga; intestinal; gc; cancer; risk; gastric,244,0.008691935024223425,2018.4344262295083,0.28688524590163933,50.64754098360656,11,0.0987468671679198,0.7046421057343719,0.559322033898305,0.30511134353815067,0.6875,0.5000333797161748,热点
80,virus; cancers; attributable; agents; hepatitis; cancer; infectious; hpv; see; hbv,106,0.0037760045597036193,2016.2169811320755,0.16037735849056603,143.39622641509433,9,0.029573934837092735,0.5048248810988816,0.297729453149984,1.0,0.5625,0.4718304640967613,热点
75,ai; images; artificial; intelligence; accuracy; learning; cnn; model; neural; endoscopists,108,0.003847249928754631,2021.0648148148148,0.5,26.48148148148148,1,0.0305764411027569,0.9416702727168669,1.0,0.12405518580087077,0.0625,0.46609941679011946,热点
32,guidelines; consensus; management; knowledge; physicians; recommendations; practice; treatment; gastroenterologists; infection,237,0.008442576232544885,2017.5316455696202,0.31645569620253167,69.9367088607595,7,0.09523809523809526,0.6232912185704554,0.6204677107916756,0.4496290139295342,0.4375,0.4615202129488975,热点
104,immunotherapy; pdl1; immune; checkpoint; survival; gc; tumor; cancer; ici; pd,66,0.0023510971786833857,2021.7121212121212,0.45454545454545453,24.59090909090909,0,0.009523809523809526,1.0,0.9060092449922958,0.10989070139533001,0.0,0.4389659811450205,热点
15,drug; nanoparticles; release; delivery; floating; microspheres; chitosan; mucoadhesive; prepared; vitro,351,0.012503562268452551,2018.2763532763533,0.3247863247863248,39.2022792022792,6,0.15238095238095242,0.6903979204664146,0.6376937563378241,0.2193615289172671,0.375,0.4386220364175849,热点
29,metachronous; im; cancer; eradication; resection; after; endoscopic; gastric; esd; egc,338,0.012040467369620975,2016.7278106508875,0.1863905325443787,57.42603550295858,11,0.14586466165413536,0.5508564770238796,0.3515194062782068,0.3558969576681317,0.6875,0.4371844744577259,热点
